electoral_district,party
Beaches--East York,Liberal
Brampton Centre/Brampton-Centre,Liberal
Brampton East/Brampton-Est,Liberal
Brampton North/Brampton-Nord,Liberal
Brampton South/Brampton-Sud,Liberal
Brampton West/Brampton-Ouest,Liberal
Brantford--Brant,Conservative
Bruce--Grey--Owen Sound,Conservative
Burlington,Liberal
Cambridge,Liberal
Carleton,Conservative
Chatham-Kent--Leamington,Conservative
Davenport,Liberal
Don Valley East/Don Valley-Est,Liberal
Don Valley North/Don Valley-Nord,Liberal
Don Valley West/Don Valley-Ouest,Liberal
Dufferin--Caledon,Conservative
Durham,Conservative
Eglinton--Lawrence,Liberal
Elgin--Middlesex--London,Conservative
Essex,Conservative
Etobicoke Centre/Etobicoke-Centre,Liberal
Etobicoke North/Etobicoke-Nord,Liberal
Etobicoke--Lakeshore,Liberal
Flamborough--Glanbrook,Conservative
Glengarry--Prescott--Russell,Liberal
Guelph,Liberal
Haldimand--Norfolk,Conservative
Haliburton--Kawartha Lakes--Brock,Conservative
Hamilton Centre/Hamilton-Centre,NDP
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,Liberal
Hamilton Mountain,Liberal
Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,Liberal
Hastings--Lennox and Addington,Conservative
Humber River--Black Creek,Liberal
Huron--Bruce,Conservative
Kanata--Carleton,Liberal
Kenora,Conservative
King--Vaughan,Conservative
Kingston and the Islands/Kingston et les Îles,Liberal
Kitchener Centre/Kitchener-Centre,Green
Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Liberal
Kitchener--Conestoga,Liberal
Lambton--Kent--Middlesex,Conservative
Lanark--Frontenac--Kingston,Conservative
Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes,Conservative
London North Centre/London-Centre-Nord,Liberal
London West/London-Ouest,Liberal
London--Fanshawe,NDP
Markham--Stouffville,Liberal
Markham--Thornhill,Liberal
Markham--Unionville,Liberal
Milton,Liberal
Mississauga Centre/Mississauga-Centre,Liberal
Mississauga East--Cooksville/Mississauga-Est--Cooksville,Liberal
Mississauga--Erin Mills,Liberal
Mississauga--Lakeshore,Liberal
Mississauga--Malton,Liberal
Mississauga--Streetsville,Liberal
Nepean,Liberal
Newmarket--Aurora,Liberal
Niagara Centre/Niagara-Centre,Liberal
Niagara Falls,Conservative
Niagara West/Niagara-Ouest,Conservative
Nickel Belt,Liberal
Nipissing--Timiskaming,Liberal
Northumberland--Peterborough South/Northumberland--Peterborough-Sud,Conservative
Oakville,Liberal
Oakville North--Burlington/Oakville-Nord--Burlington,Liberal
Orléans,Liberal
Oshawa,Conservative
Ottawa Centre/Ottawa-Centre,Liberal
Ottawa South/Ottawa-Sud,Liberal
Ottawa West--Nepean/Ottawa-Ouest--Nepean,Liberal
Ottawa--Vanier,Liberal
Oxford,Conservative
Parkdale--High Park,Liberal
Parry Sound--Muskoka,Conservative
Perth--Wellington,Conservative
Peterborough--Kawartha,Conservative
Pickering--Uxbridge,Liberal
Renfrew--Nipissing--Pembroke,Conservative
Richmond Hill,Liberal
St. Catharines,Liberal
Sarnia--Lambton,Conservative
Sault Ste. Marie,Liberal
Scarborough Centre/Scarborough-Centre,Liberal
Scarborough North/Scarborough-Nord,Liberal
Scarborough Southwest/Scarborough-Sud-Ouest,Liberal
Scarborough--Agincourt,Liberal
Scarborough--Guildwood,Liberal
Scarborough--Rouge Park,Liberal
Simcoe North/Simcoe-Nord,Conservative
Simcoe--Grey,Conservative
Spadina--Fort York,Liberal
Stormont--Dundas--South Glengarry,Conservative
Sudbury,Liberal
Thornhill,Conservative
Thunder Bay--Rainy River,Liberal
Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord,Liberal
Timmins--James Bay/Timmins--Baie James,NDP
Toronto Centre/Toronto-Centre,Liberal
Toronto--Danforth,Liberal
Toronto--St. Paul's,Liberal
University--Rosedale,Liberal
Vaughan--Woodbridge,Liberal
Waterloo,Liberal
Wellington--Halton Hills,Conservative
Whitby,Liberal
Willowdale,Liberal
Windsor West/Windsor-Ouest,NDP
Windsor--Tecumseh,Liberal
York Centre/York-Centre,Liberal
York South--Weston/York-Sud--Weston,Liberal
York--Simcoe,Conservative
Brandon--Souris,Conservative
Charleswood--St. James--Assiniboia--Headingley,Conservative
Churchill--Keewatinook Aski,NDP
Dauphin--Swan River--Neepawa,Conservative
Elmwood--Transcona,NDP
Kildonan--St. Paul,Conservative
Portage--Lisgar,Conservative
Provencher,Conservative
Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital,Liberal
Selkirk--Interlake--Eastman,Conservative
Winnipeg Centre/Winnipeg-Centre,NDP
Winnipeg North/Winnipeg-Nord,Liberal
Winnipeg South/Winnipeg-Sud,Liberal
Winnipeg South Centre/Winnipeg-Centre-Sud,Liberal
Battlefords--Lloydminster,Conservative
Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek,Conservative
Cypress Hills--Grasslands,Conservative
Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,Conservative
Moose Jaw--Lake Centre--Lanigan,Conservative
Prince Albert,Conservative
Regina--Lewvan,Conservative
Regina--Qu'Appelle,Conservative
Regina--Wascana,Conservative
Saskatoon West/Saskatoon-Ouest,Conservative
Saskatoon--Grasswood,Conservative
Saskatoon--University,Conservative
Souris--Moose Mountain,Conservative
Yorkton--Melville,Conservative
Banff--Airdrie,Conservative
Battle River--Crowfoot,Conservative
Bow River,Conservative
Calgary Centre/Calgary-Centre,Conservative
Calgary Confederation,Conservative
Calgary Forest Lawn,Conservative
Calgary Heritage,Conservative
Calgary Midnapore,Conservative
Calgary Nose Hill,Conservative
Calgary Rocky Ridge,Conservative
Calgary Shepard,Conservative
Calgary Signal Hill,Conservative
Calgary Skyview,Liberal
Edmonton Centre/Edmonton-Centre,Liberal
Edmonton Griesbach,NDP
Edmonton Manning,Conservative
Edmonton Mill Woods,Conservative
Edmonton Riverbend,Conservative
Edmonton Strathcona,NDP
Edmonton West/Edmonton-Ouest,Conservative
Edmonton--Wetaskiwin,Conservative
Foothills,Conservative
Fort McMurray--Cold Lake,Conservative
Grande Prairie--Mackenzie,Conservative
Lakeland,Conservative
Lethbridge,Conservative
Medicine Hat--Cardston--Warner,Conservative
Peace River--Westlock,Conservative
Red Deer--Lacombe,Conservative
Red Deer--Mountain View,Conservative
St. Albert--Edmonton,Conservative
Sherwood Park--Fort Saskatchewan,Conservative
Sturgeon River--Parkland,Conservative
Yellowhead,Conservative
Abbotsford,Conservative
Burnaby North--Seymour/Burnaby-Nord--Seymour,Liberal
Burnaby South/Burnaby-Sud,NDP
Cariboo--Prince George,Conservative
Central Okanagan--Similkameen--Nicola,Conservative
Chilliwack--Hope,Conservative
Cloverdale--Langley City,Liberal
Coquitlam--Port Coquitlam,Liberal
Courtenay--Alberni,NDP
Cowichan--Malahat--Langford,NDP
Delta,Liberal
Esquimalt--Saanich--Sooke,NDP
Fleetwood--Port Kells,Liberal
Kamloops--Thompson--Cariboo,Conservative
Kelowna--Lake Country,Conservative
Kootenay--Columbia,Conservative
Langley--Aldergrove,Conservative
Mission--Matsqui--Fraser Canyon,Conservative
Nanaimo--Ladysmith,NDP
New Westminster--Burnaby,NDP
North Island--Powell River,NDP
North Okanagan--Shuswap,Conservative
North Vancouver,Liberal
Pitt Meadows--Maple Ridge,Conservative
Port Moody--Coquitlam,NDP
Prince George--Peace River--Northern Rockies,Conservative
Richmond Centre/Richmond-Centre,Liberal
Saanich--Gulf Islands,Green
Skeena--Bulkley Valley,NDP
South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest,NDP
South Surrey--White Rock/Surrey-Sud--White Rock,Conservative
Steveston--Richmond East/Steveston--Richmond-Est,Liberal
Surrey Centre/Surrey-Centre,Liberal
Surrey--Newton,Liberal
Vancouver Centre/Vancouver-Centre,Liberal
Vancouver East/Vancouver-Est,NDP
Vancouver Granville,Liberal
Vancouver Kingsway,NDP
Vancouver Quadra,Liberal
Vancouver South/Vancouver-Sud,Liberal
Victoria,NDP
West Vancouver--Sunshine Coast--Sea to Sky Country,Liberal
Yukon,Liberal
Northwest Territories/Territoires du Nord-Ouest,Liberal
Nunavut,NDP
